case,role,curve_label,tokens_seen,loss,run_id,run_name,run_state,run_created_at,smoothed_loss
B1,baseline,Native SiLU,1582825472.0,3.750894069671631,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.047503833223616
B1,baseline,Native SiLU,1586888704.0,3.566479206085205,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,7.037713606640672
B1,baseline,Native SiLU,1616248832.0,3.735088348388672,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.971181533156752
B1,baseline,Native SiLU,1642594304.0,3.775994062423706,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.913362818205863
B1,baseline,Native SiLU,1663959040.0,3.5192015171051025,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.863469346472696
B1,baseline,Native SiLU,1688076288.0,3.617017984390259,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.8096501560782805
B1,baseline,Native SiLU,1724907520.0,3.7373220920562735,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.732207999922098
B1,baseline,Native SiLU,1733951488.0,3.5379743576049805,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.7122466174618705
B1,baseline,Native SiLU,1753612288.0,3.5071282386779785,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.6688640914055926
B1,baseline,Native SiLU,1776287744.0,3.6414270401000977,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.621652560178573
B1,baseline,Native SiLU,1782054912.0,3.472768783569336,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.609090035176771
B1,baseline,Native SiLU,1801060352.0,3.781893014907837,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.572090011617094
B1,baseline,Native SiLU,1834352640.0,3.477973937988281,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.501506322481971
B1,baseline,Native SiLU,1848377344.0,3.6191694736480713,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.473622347735656
B1,baseline,Native SiLU,1867513856.0,3.4836671352386475,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.434224202410591
B1,baseline,Native SiLU,1905917952.0,3.5234336853027344,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.357762072885707
B1,baseline,Native SiLU,1970143232.0,3.551990032196045,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.2355953724769755
B1,baseline,Native SiLU,1977352192.0,3.5389959812164307,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.222154424375204
B1,baseline,Native SiLU,2036072448.0,3.66990327835083,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.120358941454498
B1,baseline,Native SiLU,2053636096.0,3.428145408630371,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,6.08778211470442
B1,baseline,Native SiLU,2187722752.0,3.410412549972534,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.850156314557809
B1,baseline,Native SiLU,2201485312.0,3.4524197578430176,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.82739190836981
B1,baseline,Native SiLU,2270298112.0,3.6307201385498047,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.725075881201157
B1,baseline,Native SiLU,2271477760.0,3.698927402496338,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.7234198381526635
B1,baseline,Native SiLU,2289041408.0,3.4615962505340576,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.696050896478933
B1,baseline,Native SiLU,2294153216.0,3.559837579727173,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.688495183779629
B1,baseline,Native SiLU,2326659072.0,3.6107025146484375,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.6422031943405955
B1,baseline,Native SiLU,2331508736.0,3.3702070713043213,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.634578631385934
B1,baseline,Native SiLU,2370699264.0,3.4686074256896973,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.576532424498679
B1,baseline,Native SiLU,2380267520.0,3.3449156284332275,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.561780845859064
B1,baseline,Native SiLU,2387083264.0,3.5750572681427,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.552417076477295
